No,Use Case,Actor
1,Login,Administrator
2,Logout,Administrator
3,Add Movie,Administrator
4,Update Movie,Administrator
5,Delete Movie,Administrator
6,View / Search Movies,Administrator
7,Add Cinema Hall,Administrator
8,Update Cinema Hall,Administrator
9,Delete Cinema Hall,Administrator
10,View Cinema Halls,Administrator
11,Add Movie Show,Administrator
12,Update Movie Show,Administrator
13,Delete Movie Show,Administrator
14,View Movie Shows,Administrator
15,Update Ticket Pricing (Weekday/Weekend - Adult/Kid),Administrator
16,View Ticket Pricing,Administrator
17,Book Ticket (Sell Ticket),"Administrator (primary), Customer (secondary)"
18,Select Seat,Administrator
19,Check Seat Availability,Administrator
20,Calculate Ticket Price,Administrator
21,View Sold Tickets,Administrator
22,Update Ticket,Administrator
23,Cancel / Delete Ticket,Administrator
